"fishing_location","fishing_method","average_catch","sd_catch","perc_trips_over_mean"
"FAH","Boot",0,0,1
"GEM","Boot",3,0,1
"KAP","Boot",0,0,1
"OLH","Boot",9,0,1
"PRS","Boot",0,0,1
"WIM","Boot",4.33333333333333,1.86189867250253,0.333333333333333
"TVM","Kutter",2.75,1.5,0.5
"DRK","Land",1.6,0.894427190999916,0.8
"KDG","Land",2,1.82574185835055,0.5
"MGH","Land",1.66666666666667,0.577350269189626,0.666666666666667
"MIM","Land",0.25,0.5,0.25
"MSD","Land",1,1,0.666666666666667
"SID","Land",2,2.82842712474619,0.5
"SSS","Land",1.75,1.25830573921179,0.75
"TDN","Land",1,1,0.666666666666667
"WET","Boot",4.25,3.65474251584744,0.375
"DAD","Land",2.33333333333333,4.76095228569523,0.166666666666667
"DRW","Land",2.5,2.64575131106459,0.5
"GRB","Land",0.5,0.674199862463242,0.416666666666667
"HEH","Land",0.166666666666667,0.408248290463863,0.166666666666667
"KAH","Land",3.875,3.75832409459323,0.5
"LHW","Land",0.230769230769231,0.832050294337844,0.0769230769230769
"QUT","Land",1,1.73205080756888,0.285714285714286
"SOK","Land",1.2,1.30384048104053,0.4
"WBD","Land",0,0,1
"TVM","Boot",5.2,3.70135110466435,0.6
"BPH","Land",1.77777777777778,2.22361067735439,0.444444444444444
"FLB","Land",1.6,1.89736659610103,0.4
"GLW","Land",1.22222222222222,1.98606254796883,0.333333333333333
"GRM","Land",0.705882352941177,1.40377641926844,0.235294117647059
"MAL","Land",0,0,1
"SDW","Land",7.36363636363636,3.47196564708602,0.363636363636364
"WUT","Land",0.625,1.5551457362156,0.166666666666667
"SBY","Boot",0.181818181818182,0.404519917477945,0.181818181818182
"BOH","Land",1.47058823529412,1.58578241961277,0.470588235294118
"BUS","Land",1.35294117647059,2.47338776960337,0.294117647058824
"KAD","Land",2.15384615384615,3.41189472888975,0.230769230769231
"KIU","Land",1.66666666666667,2.3094010767585,0.416666666666667
"PRZ","Land",0,0,1
"SBH","Land",2.14285714285714,3.32489775105116,0.285714285714286
"THK","Land",3.18181818181818,3.15652282799228,0.272727272727273
"DRK","Boot",5.25925925925926,3.04571063568969,0.333333333333333
"GRM","Boot",1.55555555555556,1.75640750404382,0.388888888888889
"LBG","Boot",1.77777777777778,2.16666666666667,0.444444444444444
"AHH","Land",2.35294117647059,2.7143409989947,0.352941176470588
"BEH","Land",1,1.92353840616713,0.333333333333333
"ELH","Land",1.36,1.9122412679018,0.4
"FMS","Land",0.516129032258065,1.12163475165895,0.354838709677419
"HEK","Land",0.212121212121212,1.05349346692255,0.0606060606060606
"SRF","Land",1.70588235294118,1.61108293867638,0.470588235294118
"WLH","Land",1.83333333333333,2.99509402778846,0.277777777777778
"AHH","Boot",11.5,16.9784931831194,0.285714285714286
"SSS","Boot",2.45833333333333,3.92294439848734,0.291666666666667
"RWM","Land",3.21739130434783,4.61180818156581,0.260869565217391
"STB","Land",1.72222222222222,2.24409173440354,0.444444444444444
"WAT","Land",0.333333333333333,1.43456300471354,0.0833333333333333
"WIB","Land",1.28571428571429,1.23056316956332,0.380952380952381
"DAH","Land",1.125,1.36134524260572,0.375
"HUB","Land",1.04761904761905,1.16086995293144,0.380952380952381
"KIB","Land",1.16,1.62480768092719,0.36
"KUB","Land",1.11764705882353,2.1286602114711,0.235294117647059
"ECF","Land",2,3.19482339914496,0.433333333333333
"HAB","Land",0.592592592592593,1.30852998141071,0.222222222222222
"KTB","Land",1.66666666666667,3.05505046330389,0.307692307692308
"SHA","Land",1.70588235294118,3.00029707382357,0.382352941176471
"HED","Boot",3,3.43187671366233,0.368421052631579
"LAB","Boot",2.77777777777778,2.65059258009243,0.555555555555556
"BAH","Boot",3.82,3.70708092433816,0.48
"BLE","Boot",2.28260869565217,3.48114312947955,0.326086956521739
"MIM","Boot",3.76315789473684,3.53694180412214,0.473684210526316
"RWM","Boot",4.94871794871795,4.11489986906133,0.423076923076923
"WIK","Boot",17.7878787878788,12.0149843314442,0.515151515151515
"REK","Land",1.26760563380282,2.4608810645137,0.28169014084507
"BOH","Boot",4.25,3.81000381000571,0.4375
"BEH","Boot",3.75,3.54058106611249,0.472222222222222
"ECF","Boot",6.36,7.6205861541835,0.28
"KFS","Land",0.439393939393939,0.89663967342668,0.242424242424242
"KIB","Boot",2.11764705882353,3.06262618423879,0.294117647058824
"BAH","Kutter",9.91666666666667,6.05530070819498,0.458333333333333
"HOF","Land",0.613636363636364,1.0165127137678,0.340909090909091
"NES","Boot",2.42465753424658,3.5541828032826,0.328767123287671
"KAD","Boot",8.70149253731343,5.96203881482576,0.432835820895522
"MAH","Boot",4.65116279069767,4.88868334075767,0.465116279069767
"SBY","Land",0.534883720930233,1.3156355916312,0.209302325581395
"FAH","Land",0.82051282051282,1.48451294284115,0.333333333333333
"ECF","Kutter",4.79510703363914,6.83353158327022,0.330275229357798
"WIM","Kutter",5.44086021505376,4.1512649513392,0.383512544802867
"BST","Boot",5.26618705035971,5.95827951478888,0.366906474820144
"SPD","Boot",8.47107438016529,11.5708501417465,0.363636363636364
"GRB","Boot",3.87349397590361,5.40389498893887,0.36144578313253
"OLH","Kutter",4.25,4.94680289638727,0.384146341463415
"GLW","Boot",4.8125,8.76911748836014,0.263392857142857
"KUB","Boot",3.48453608247423,4.21829695607386,0.350515463917526
"HED","Kutter",5.09401709401709,7.74963546348148,0.301994301994302
"MAH","Kutter",7.17619047619048,7.66963480891086,0.347619047619048
"LAB","Kutter",3.04602510460251,4.42571754423383,0.288702928870293
"SAN","Kutter",8.33818181818182,6.30712122199649,0.392727272727273
"SPD","Kutter",7.80357142857143,6.89679004071192,0.386904761904762
"BST","Kutter",5.07708553326294,5.07818082200347,0.35480464625132
"HEH","Kutter",4.81585677749361,4.67367044698774,0.40920716112532
"RWM","Kutter",6.7416934619507,7.21651272619905,0.372990353697749
