zip;zipcode;region;long;lat
1067;01067;Dresden;13.72106761;51.06003365
1069;01069;Dresden;13.73890664;51.03955888
1097;01097;Dresden;13.74396741;51.06674524
1099;01099;Dresden;13.82897987;51.0926193
1108;01108;Dresden;13.82897987;51.0926193
1109;01109;Dresden;13.76196454;51.12010093
1127;01127;Dresden;13.73334738;51.07963041
1129;01129;Dresden;13.72741047;51.09679448
1139;01139;Dresden;13.6911444;51.08055743
1156;01156;Cossebaude;13.62330725;51.06663081
1157;01157;Dresden;13.67080475;51.06430769
1159;01159;Dresden;13.70069156;51.04260577
1169;01169;Dresden;13.66918777;51.0402554
1187;01187;Dresden;13.70266577;51.02638027
1189;01189;Dresden;13.70451057;51.01391613
1217;01217;Dresden;13.74451634;51.01714375
1219;01219;Dresden;13.76705057;51.02232368
1237;01237;Dresden;13.79958592;51.01756651
1239;01239;Dresden;13.79106801;51.00268296
1257;01257;Dresden;13.81598504;50.99673254
1259;01259;Dresden;13.85040092;50.995406
1277;01277;Dresden;13.79962483;51.03586903
1279;01279;Dresden;13.8293586;51.02625583
1307;01307;Dresden;13.77262719;51.0541355
1309;01309;Dresden;13.79142626;51.04864893
1324;01324;Dresden;13.85653493;51.06578323
1326;01326;Dresden;13.86049322;51.02553777
1328;01328;Dresden;13.86049322;51.02553777
1445;01445;Radebeul;13.64328425;51.11363195
1454;01454;Radeberg;13.91747786;51.13222043
1458;01458;Ottendorf-Okrilla;13.84584633;51.18069982
1465;01465;LangebrÃ¼ck;13.85294894;51.13919816
1468;01468;Reichenberg;13.68808622;51.16435976
1471;01471;Radeburg;13.7337932;51.20779316
1474;01474;SchÃ¶nfeld-WeiÃŸig;13.91035292;51.04198342
1477;01477;Arnsdorf bei Dresden;13.9856777;51.09204302
1478;01478;Weixdorf;13.78709196;51.15478815
1558;01558;GroÃŸenhain;13.53157317;51.28911459
1561;01561;GroÃŸenhain;13.63558699;51.29769098
1587;01587;Riesa;13.27338415;51.30264201
1589;01589;Riesa;13.32805002;51.29321976
1591;01591;Riesa;13.24763167;51.31857829
1594;01594;Riesa;13.29260211;51.26028437
1609;01609;GrÃ¶ditz;13.4276268;51.39330558
1612;01612;NÃ¼nchritz;13.41076368;51.29714918
1616;01616;Strehla;13.23351337;51.36277745
1619;01619;Zeithain;13.31755714;51.36932417
1623;01623;Lommatzsch;13.2973632;51.16516225
1640;01640;Coswig;13.5809263;51.13875861
1662;01662;MeiÃŸen;13.48063114;51.16252026
1665;01665;MeiÃŸen;13.4489544;51.13625684
1683;01683;Nossen;13.33917203;51.06247001
1689;01689;WeinbÃ¶hla;13.56353505;51.18353279
1705;01705;Freital;13.6382951;50.99819633
1723;01723;Wilsdruff;13.5134891;51.02841305
1728;01728;Bannewitz;13.72913699;50.9821083
1731;01731;Kreischa;13.75973245;50.94878857
