ap_code;lat;long;lati;longi;latitude;longitude
AHH;54.376.513;12.406.816;54376513;12406816;54.376513;12.406816
ALF;54.329.427;13.123.044;54329427;13123044;54.329427;13.123044
BAH;54.433.920;13.030.595;54433920;13030595;54.43392;13.030595
BEH;54.148.725;11.876.173;54148725;11876173;54.148725;11.876173
BHW;54.830.226;9.614.702;54830226;9614702;54.830226;9.614702
BLE;54.353.807;10.865.622;54353807;10865622;54.353807;10.865622
BOH;53.991.005;11.201.948;53991005;11201948;53.991005;11.201948
BPH;54.117.463;10.924.308;54117463;10924308;54.117463;10.924308
BRU;53.993.809;10.855.555;53993809;10855555;53.993809;10.855555
BST;54.418.963;11.200.860;54418963;11200860;54.418963;11.20086
BUS;54.153.702;11.707.745;54153702;11707745;54.153702;11.707745
DAD;54.370.897;10.913.501;54370897;10913501;54.370897;10.913501
DAH;54.218.648;11.090.205;54218648;11090205;54.218648;11.090205
DRK;54.634.071;13.242.212;54634071;13242212;54.634071;13.242212
DRW;54.633.453;13.376.499;54633453;13376499;54.633453;13.376499
ECF;54.468.211;9.840.409;54468211;9840409;54.468211;9.840409
ELH;54.174.872;11.998.510;54174872;11998510;54.174872;11.99851
FAH;54.730.332;9.982.200;54730332;9982200;54.730332;9.9822
FAS;54.400.447;10.191.064;54400447;10191064;54.400447;10.191064
FLB;54.801.110;9.438.196;54801110;9438196;54.80111;9.438196
FLG;54.444.099;11.006.718;54444099;11006718;54.444099;11.006718
FMS;54.402.191;11.121.404;54402191;11121404;54.402191;11.121404
GBF;54.393.762;11.119.184;54393762;11119184;54.393762;11.119184
GED;54.102.197;12.112.752;54102197;12112752;54.102197;12.112752
GEM;54.755.167;9.848.759;54755167;9848759;54.755167;9.848759
GLB;54.838.929;9.558.612;54838929;9558612;54.838929;9.558612
GLW;54.573.613;13.469.476;54573613;13469476;54.573613;13.469476
GRB;54.369.179;11.083.911;54369179;11083911;54.369179;11.083911
GRM;54.257.027;12.233.995;54257027;12233995;54.257027;12.233995
HAB;54.795.870;9.771.513;54795870;9771513;54.79587;9.771513
HED;54.374.535;10.197.028;54374535;10197028;54.374535;10.197028
HEH;54.374.011;10.982.540;54374011;10982540;54.374011;10.98254
HEK;54.435.288;10.326.324;54435288;10326324;54.435288;10.326324
HIS;54.548.829;13.094.537;54548829;13094537;54.548829;13.094537
HKS;54.039.644;10.750.871;54039644;10750871;54.039644;10.750871
HOF;54.384.204;10.514.347;54384204;10514347;54.384204;10.514347
HUB;54.367.653;10.581.458;54367653;10581458;54.367653;10.581458
KAD;54.143.307;11.665.158;54143307;11665158;54.143307;11.665158
KAH;54.439.118;11.285.992;54439118;11285992;54.439118;11.285992
KAP;54.659.670;9.934.183;54659670;9934183;54.65967;9.934183
KDG;54.457.672;11.273.832;54457672;11273832;54.457672;11.273832
KFS;54.423.105;10.396.536;54423105;10396536;54.423105;10.396536
KIB;54.359.022;10.179.748;54359022;10179748;54.359022;10.179748
KIL;54.344.456;10.154.822;54344456;10154822;54.344456;10.154822
KIU;54.462.790;9.939.431;54462790;9939431;54.46279;9.939431
KLO;54.586.826;13.101.546;54586826;13101546;54.586826;13.101546
KTB;54.670.029;13.278.712;54670029;13278712;54.670029;13.278712
KUB;54.153.270;11.765.435;54153270;11765435;54.15327;11.765435
LAB;54.404.177;10.217.088;54404177;10217088;54.404177;10.217088
LBG;54.821.367;9.654.139;54821367;9654139;54.821367;9.654139
LHW;54.328.225;10.658.001;54328225;10658001;54.328225;10.658001
LOM;54.584.581;13.609.678;54584581;13609678;54.584581;13.609678
MAH;54.701.596;10.013.646;54701596;10013646;54.701596;10.013646
MAL;54.493.122;11.242.026;54493122;11242026;54.493122;11.242026
MGH;54.188.556;12.132.219;54188556;12132219;54.188556;12.132219
MIM;54.402.758;11.142.289;54402758;11142289;54.402758;11.142289
MSD;54.412.204;11.243.207;54412204;11243207;54.412204;11.243207
MUK;54.525.879;13.671.549;54525879;13671549;54.525879;13.671549
