"fishing_location","fishing_method","average_catch"
"AHH","Boot",11.5
"BAH","Boot",3.82
"BEH","Boot",3.75
"BLE","Boot",2.28260869565217
"BOH","Boot",4.25
"BST","Boot",5.26618705035971
"DRK","Boot",5.25925925925926
"ECF","Boot",6.36
"FAH","Boot",0
"GEM","Boot",3
"GLW","Boot",4.8125
"GRB","Boot",3.87349397590361
"GRM","Boot",1.55555555555556
"HED","Boot",3
"KAD","Boot",8.70149253731343
"KAP","Boot",0
"KIB","Boot",2.11764705882353
"KUB","Boot",3.48453608247423
"LAB","Boot",2.77777777777778
"LBG","Boot",1.77777777777778
"MAH","Boot",4.65116279069767
"MIM","Boot",3.76315789473684
"NES","Boot",2.42465753424658
"OLH","Boot",9
"PRS","Boot",0
"RWM","Boot",4.94871794871795
"SBY","Boot",0.181818181818182
"SPD","Boot",8.47107438016529
"SSS","Boot",2.45833333333333
"TVM","Boot",5.2
"WET","Boot",4.25
"WIK","Boot",17.7878787878788
"WIM","Boot",4.33333333333333
"BAH","Kutter",9.91666666666667
"BST","Kutter",5.07708553326294
"ECF","Kutter",4.79510703363914
"HED","Kutter",5.09401709401709
"HEH","Kutter",4.81585677749361
"LAB","Kutter",3.04602510460251
"MAH","Kutter",7.17619047619048
"OLH","Kutter",4.25
"RWM","Kutter",6.7416934619507
"SAN","Kutter",8.33818181818182
"SPD","Kutter",7.80357142857143
"TVM","Kutter",2.75
"WIM","Kutter",5.44086021505376
"AHH","Land",2.35294117647059
"BEH","Land",1
"BOH","Land",1.47058823529412
"BPH","Land",1.77777777777778
"BUS","Land",1.35294117647059
"DAD","Land",2.33333333333333
"DAH","Land",1.125
"DRK","Land",1.6
"DRW","Land",2.5
"ECF","Land",2
"ELH","Land",1.36
"FAH","Land",0.82051282051282
"FLB","Land",1.6
"FMS","Land",0.516129032258065
"GLW","Land",1.22222222222222
"GRB","Land",0.5
"GRM","Land",0.705882352941177
"HAB","Land",0.592592592592593
"HEH","Land",0.166666666666667
"HEK","Land",0.212121212121212
"HOF","Land",0.613636363636364
"HUB","Land",1.04761904761905
"KAD","Land",2.15384615384615
"KAH","Land",3.875
"KDG","Land",2
"KFS","Land",0.439393939393939
"KIB","Land",1.16
"KIU","Land",1.66666666666667
"KTB","Land",1.66666666666667
"KUB","Land",1.11764705882353
"LHW","Land",0.230769230769231
"MAL","Land",0
"MGH","Land",1.66666666666667
"MIM","Land",0.25
"MSD","Land",1
"PRZ","Land",0
"QUT","Land",1
"REK","Land",1.26760563380282
"RWM","Land",3.21739130434783
"SBH","Land",2.14285714285714
"SBY","Land",0.534883720930233
"SDW","Land",7.36363636363636
"SHA","Land",1.70588235294118
"SID","Land",2
"SOK","Land",1.2
"SRF","Land",1.70588235294118
"SSS","Land",1.75
"STB","Land",1.72222222222222
"TDN","Land",1
"THK","Land",3.18181818181818
"WAT","Land",0.333333333333333
"WBD","Land",0
"WIB","Land",1.28571428571429
"WLH","Land",1.83333333333333
"WUT","Land",0.625
